,NAME_0,loc05,loc01,loc005,target,random,avg_index,ranked
0,Aruba,0.5,0.7579396978021978,0.7581331043956043,0.2652792108152764,0.41079277137373077,0.5384289568773618,188.0
1,Afghanistan,0.4812052631578947,0.425517239010989,0.41729168956043955,0.163717578339619,0.6205815466805387,0.42166266334989616,54.0
2,Angola,0.4448978726020659,0.40892087912087915,0.4031458791208791,0.1704974413469879,0.5524186389323361,0.3959761422246297,29.0
5,Albania,0.6521780742744712,0.5264785714285714,0.4663730769230769,0.21254561999628746,0.549938272789701,0.48150272308242154,113.0
6,Andorra,0.5,0.6597926510989012,0.6637627747252747,0.459588040119984,0.46323342065016176,0.5492753773188642,196.0
7,United Arab Emirates,0.6995216305951795,0.6401432005494505,0.5959870192307692,0.16590819816545965,0.5569692041582242,0.5317058505398167,181.0
8,Argentina,0.32930266847024103,0.3553631868131868,0.3490381868131868,0.09320902564478831,0.6130032798672629,0.3479832695217332,5.0
9,Armenia,0.691942203639941,0.5135999313186813,0.47790439560439557,0.23589687196141934,0.5471235378280286,0.49329338807049317,128.0
10,American Samoa,0.5,0.5368942307692308,0.48601923076923076,0.6465086081166772,0.39910445514617676,0.5137053049602631,160.0
13,Antigua and Barbuda,0.5,0.7421796016483517,0.6418796016483517,0.36828426114768764,0.32704215482096693,0.5158771238530716,162.0
14,Australia,0.3412767953762912,0.4157491758241758,0.41487417582417585,0.11584286731354783,0.5857695297112306,0.37470250880988426,15.0
15,Austria,0.6533644490900148,0.5213901098901099,0.5030401098901098,0.15302438083197753,0.5829942012491658,0.48276265019027564,115.0
16,Azerbaijan,0.6079511928184949,0.4526377747252747,0.4233877747252747,0.1625594663163807,0.57997260371779,0.44530176246064307,76.0
17,Burundi,0.666906406787998,0.5020395604395604,0.44305281593406587,0.19411162906006307,0.5071197091471285,0.46264602427376317,94.0
18,Belgium,0.6580145228726021,0.4354267857142857,0.3966951923076923,0.10713175868220112,0.5363039229766667,0.4267144365106896,60.0
19,Benin,0.6596560378750616,0.45609986263736263,0.43104986263736267,0.2303615273179635,0.5146139228307153,0.45835624265969316,87.0
21,Burkina Faso,0.535924680275455,0.395453228021978,0.37980322802197797,0.2144233116510783,0.4954325810417025,0.4042074058024384,33.0
22,Bangladesh,0.6261901131333005,0.6099899038461539,0.5954399038461539,0.3191532204860024,0.5786350862332214,0.5458816455089663,191.0
23,Bulgaria,0.5771245327102803,0.42837740384615386,0.41082740384615385,0.1488656311512324,0.5339973630262494,0.41983846691601395,52.0
24,Bahrain,0.5,0.669776923076923,0.630367445054945,0.16946306076002768,0.4625614194929544,0.48643376967697005,118.0
25,Bahamas,0.5,0.5412934065934066,0.7327914148351649,0.2701155788586828,0.39462122222919005,0.4877643245032888,120.0
26,Bosnia and Herzegovina,0.6205229340875553,0.45064807692307696,0.4157480769230769,0.19852030594137643,0.5048838231552255,0.43806464340606227,69.0
28,Belarus,0.5058627274963108,0.40994855769230765,0.39656359890109893,0.13774724604556737,0.5823712597470874,0.40649867797647443,37.0
29,Belize,0.47466412936546976,0.6317725961538462,0.6036995879120879,0.4168779042339255,0.4859808009953339,0.5225990037321326,168.0
31,Bolivia,0.49633199704869657,0.4991239697802198,0.49437396978021975,0.2296714977507679,0.6052601963572349,0.4649523261434278,97.0
32,Brazil,0.3176007132316773,0.3478529532967033,0.3444269230769231,0.08143449274895288,0.6467469640013147,0.34761240927111425,4.0
33,Barbados,0.5,0.6950700549450549,0.6920007554945056,0.2882222377695757,0.41119952404132903,0.517298514450093,163.0
34,Brunei,0.5374728234136744,0.6774112637362638,0.6457842032967033,0.2993292531473404,0.5011022477499705,0.5322199582687904,183.0
35,Bhutan,0.662104390063945,0.6285377060439561,0.6117203983516484,0.49988648260896545,0.4145238215038162,0.5633545597144661,202.0
37,Botswana,0.5140637358583375,0.4392673076923077,0.4308673076923077,0.22475526418989694,0.5344018544001827,0.4286710939666065,61.0
38,Central African Republic,0.5726588785046728,0.487762706043956,0.4690803571428571,0.3811997322919743,0.4924792902050999,0.480636192837712,112.0
39,Canada,0.47367432365961637,0.580801510989011,0.5848629807692307,0.2690086663815233,0.6364684063167032,0.5089631776232169,151.0
41,Switzerland,0.6480264018691589,0.527992445054945,0.48725659340659344,0.16779436193235553,0.5458757285034141,0.4753891061532934,105.0
42,Chile,0.6678529144121987,0.5884264423076923,0.5825146291208791,0.17339320668913194,0.6255595898064301,0.5275493564672665,173.0
43,China,0.30278999016232166,0.34862733516483513,0.3481773351648352,0.055296738546839724,0.6141604497525226,0.3338103697582709,2.0
44,Côte d'Ivoire,0.49748454254795865,0.41610796703296704,0.40653296703296704,0.17382063078237486,0.4980749224461588,0.3984042059684853,31.0
45,Cameroon,0.5822322798819479,0.4960857142857143,0.48343839285714285,0.2151408019109751,0.5711656488923345,0.4696125675656229,100.0
46,Democratic Republic of the Congo,0.5278825750122971,0.5891645604395604,0.5865395604395605,0.3426700720230998,0.5867968099184888,0.5266107155666013,172.0
47,Republic of Congo,0.6722591490408264,0.5622608516483517,0.5653085164835165,0.33871600664689305,0.4865498531213429,0.5250188753881861,170.0
49,Colombia,0.5023961264141663,0.41403008241758243,0.40688008241758244,0.11158618497287631,0.6179489024361273,0.410568275731667,42.0
50,Comoros,0.7069702656173144,0.6747884615384615,0.6591046703296704,0.3588463446349336,0.3707276740276248,0.554087483229601,197.0
51,Cape Verde,0.5,0.7148625686813187,0.7162614010989011,0.2764120795323472,0.4181850642950808,0.5251442227215295,171.0
52,Costa Rica,0.6387598130841122,0.4819078296703297,0.4496815247252748,0.2322331665861927,0.5191338034331164,0.46434322749980517,96.0
53,Cuba,0.7210114731923266,0.503850206043956,0.482100206043956,0.1910087248527699,0.5864629386199801,0.4968867097505977,136.0
54,Curaçao,0.5,0.6632766483516485,0.6385787087912087,0.3713312219545083,0.4243916849728178,0.5195156528140367,165.0
56,Cayman Islands,0.5,0.4587,0.47670439560439565,0.3001597055078556,0.37565413307563433,0.4222436468375771,56.0
57,Cyprus,0.8851328455484506,0.619750412087912,0.5298028846153846,0.17016543889921187,0.47361197098045027,0.5356927104262819,185.0
58,Czech Republic,0.6028762666010822,0.45808262362637364,0.4324800137362637,0.12045536049900436,0.552342610790808,0.4332473750507064,63.0
59,Germany,0.4298124446630595,0.3188192307692308,0.30870535714285713,0.061193135700697524,0.5817104725588996,0.34004812816694896,3.0
60,Djibouti,0.5954036030496802,0.6019848214285715,0.6035761675824175,0.36415953669893,0.3860208803151217,0.5102290018149442,154.0
61,Dominica,0.5,0.667157760989011,0.6677394917582418,0.5391714053765849,0.36835237092940787,0.548484205810649,195.0
62,Denmark,0.6653136620757502,0.52480625,0.4772681318681319,0.13220587829112157,0.5320704130350407,0.4663328670540089,98.0
63,Dominican Republic,0.6506868421052632,0.5925019917582417,0.5508789835164836,0.2757632482781543,0.5543030167924171,0.524826816490112,169.0
64,Algeria,0.4193060624692573,0.3968150412087912,0.3936900412087912,0.12435744682126015,0.5909042612697908,0.38501457059557814,17.0
65,Ecuador,0.5649125061485489,0.40371140109890113,0.3817114010989011,0.13426727470460104,0.5888695226478763,0.41469442113976573,47.0
66,Egypt,0.45354193310378754,0.39619622252747255,0.37156737637362636,0.11243517442301756,0.5972792333749644,0.3862039879605737,19.0
67,Eritrea,0.5954316896212494,0.5662353708791208,0.5540853708791209,0.3200567811399004,0.47356990894257167,0.5018758242923926,143.0
69,Spain,0.43812171667486477,0.35672884615384615,0.3459319368131868,0.06867852358171607,0.6036922900479447,0.3626306626543117,10.0
70,Estonia,0.5918317019183472,0.4045495879120879,0.37338585164835164,0.18505253889183473,0.5218422342432045,0.4153323829227652,48.0
71,Ethiopia,0.42617447122479096,0.41924217032967026,0.4149421703296703,0.15038565688736955,0.5556608230563642,0.3932810583655731,25.0
72,Finland,0.4222097638957206,0.35875625,0.3536977335164835,0.09840622392529955,0.5727319916939722,0.3611603926062952,9.0
73,Fiji,0.7561091613379243,0.55079375,0.49829375000000004,0.3092462897856818,0.4274449343291403,0.5083775770905492,149.0
75,France,0.40991171913428437,0.3484338598901099,0.3461838598901099,0.061069499048826886,0.5840055500228999,0.3499208975972462,6.0
